iter	Passed	Remaining
547	5602	4620
548	5612	4610
549	5621	4599
550	5630	4588
551	5640	4577
552	5649	4566
553	5658	4555
554	5668	4544
555	5678	4534
556	5687	4523
557	5696	4512
558	5705	4501
559	5715	4490
560	5724	4479
561	5734	4468
562	5743	4458
563	5753	4447
564	5762	4436
565	5772	4426
566	5782	4415
567	5791	4404
568	5800	4394
569	5810	4383
570	5819	4372
571	5829	4361
572	5838	4350
573	5847	4339
574	5856	4328
575	5866	4318
576	5876	4307
577	5885	4297
578	5894	4286
579	5904	4275
580	5913	4264
581	5923	4254
582	5932	4243
583	5941	4232
584	5951	4221
585	5961	4211
586	5970	4200
587	5980	4190
588	5989	4179
589	5998	4168
590	6008	4157
591	6018	4147
592	6027	4136
593	6038	4127
594	6048	4116
595	6057	4106
596	6067	4095
597	6076	4084
598	6085	4074
599	6095	4063
600	6104	4052
601	6113	4042
602	6126	4033
603	6135	4022
604	6145	4012
605	6154	4001
606	6163	3990
607	6172	3979
608	6182	3969
609	6194	3960
610	6207	3951
611	6219	3943
612	6232	3934
613	6244	3925
614	6257	3917
615	6269	3907
616	6281	3899
617	6293	3890
618	6306	3881
619	6318	3872
620	6331	3863
621	6343	3854
622	6355	3846
623	6368	3837
624	6380	3828
625	6390	3818
626	6400	3807
627	6409	3796
628	6418	3785
629	6428	3775
630	6437	3764
631	6447	3754
632	6457	3744
633	6467	3733
634	6476	3722
635	6486	3712
636	6495	3701
637	6504	3690
638	6515	3680
639	6524	3670
640	6534	3659
641	6555	3655
642	6568	3646
643	6578	3636
644	6587	3625
645	6597	3615
646	6607	3604
647	6616	3594
648	6625	3583
649	6635	3572
650	6644	3562
651	6654	3551
652	6665	3541
653	6675	3531
654	6684	3520
655	6693	3510
656	6702	3499
657	6712	3488
658	6721	3478
659	6730	3467
660	6740	3456
661	6749	3446
662	6760	3436
663	6772	3427
664	6785	3418
665	6797	3409
666	6810	3399
667	6822	3390
668	6835	3381
669	6847	3372
670	6860	3363
671	6873	3354
672	6885	3345
673	6898	3336
674	6911	3327
675	6924	3318
676	6937	3309
677	6950	3300
678	6963	3291
679	6975	3282
680	6985	3272
681	6996	3262
682	7008	3252
683	7019	3242
684	7032	3233
685	7045	3224
686	7058	3215
687	7070	3206
688	7082	3197
689	7096	3188
690	7105	3177
691	7116	3167
692	7126	3157
693	7138	3147
694	7148	3137
695	7157	3126
696	7166	3115
697	7176	3104
698	7185	3094
699	7195	3083
700	7204	3073
701	7214	3062
702	7223	3051
703	7233	3041
704	7242	3030
705	7252	3020
706	7262	3009
707	7271	2998
708	7280	2988
709	7290	2977
710	7299	2967
711	7309	2956
712	7318	2945
713	7327	2935
714	7337	2924
715	7346	2913
716	7355	2903
717	7365	2892
718	7374	2882
719	7383	2871
720	7392	2860
721	7402	2850
722	7411	2839
723	7421	2829
724	7431	2818
725	7441	2808
726	7451	2798
727	7460	2787
728	7469	2776
729	7478	2765
730	7487	2755
731	7496	2744
732	7507	2734
733	7516	2724
734	7526	2713
735	7536	2703
736	7546	2693
737	7556	2682
738	7565	2671
739	7574	2661
740	7586	2651
741	7599	2642
742	7610	2632
743	7622	2622
744	7635	2613
745	7644	2602
746	7654	2592
747	7663	2581
748	7676	2572
749	7685	2561
750	7695	2551
751	7704	2540
752	7713	2530
753	7722	2519
754	7732	2509
755	7741	2498
756	7750	2487
757	7760	2477
758	7770	2467
759	7779	2456
760	7788	2446
761	7797	2435
762	7806	2424
763	7816	2414
764	7825	2403
765	7834	2393
766	7844	2383
767	7854	2372
768	7863	2362
769	7872	2351
770	7882	2341
771	7891	2330
772	7900	2320
773	7910	2309
774	7919	2299
775	7928	2288
776	7939	2278
777	7948	2268
778	7958	2257
779	7967	2247
780	7976	2236
781	7986	2226
782	7995	2215
783	8005	2205
784	8016	2195
785	8025	2185
786	8035	2174
787	8045	2164
788	8054	2154
789	8064	2143
790	8073	2133
791	8082	2122
792	8092	2112
793	8101	2101
794	8110	2091
795	8119	2080
796	8129	2070
797	8139	2060
798	8148	2049
799	8158	2039
800	8167	2029
801	8176	2018
802	8186	2008
803	8195	1997
804	8204	1987
805	8214	1977
806	8223	1966
807	8232	1956
808	8242	1945
809	8252	1935
810	8261	1925
811	8271	1915
812	8280	1904
813	8289	1894
814	8299	1883
815	8308	1873
816	8317	1863
817	8326	1852
818	8336	1842
819	8345	1831
820	8355	1821
821	8365	1811
822	8374	1801
823	8384	1790
824	8393	1780
825	8402	1770
826	8411	1759
827	8422	1749
828	8431	1739
829	8441	1728
830	8450	1718
831	8460	1708
832	8469	1697
833	8478	1687
834	8487	1677
835	8498	1667
836	8508	1656
837	8517	1646
838	8527	1636
839	8536	1626
840	8545	1615
841	8555	1605
842	8564	1595
843	8573	1584
844	8583	1574
845	8594	1564
846	8606	1554
847	8617	1544
848	8628	1534
849	8639	1524
850	8650	1514
851	8661	1504
852	8675	1495
853	8688	1485
854	8700	1475
855	8712	1465
856	8725	1455
857	8737	1446
858	8750	1436
859	8762	1426
860	8774	1416
861	8787	1406
862	8800	1397
863	8813	1387
864	8824	1377
865	8835	1367
866	8846	1357
867	8858	1347
868	8868	1336
869	8880	1326
870	8891	1316
871	8902	1306
872	8913	1296
873	8927	1287
874	8939	1277
875	8952	1267
876	8964	1257
877	8976	1247
878	8989	1237
879	8999	1227
880	9013	1217
881	9022	1207
882	9031	1196
883	9041	1186
884	9050	1176
885	9060	1165
886	9069	1155
887	9079	1145
888	9088	1134
889	9098	1124
890	9107	1114
891	9116	1103
892	9125	1093
893	9135	1083
894	9145	1072
895	9154	1062
896	9163	1052
897	9173	1041
898	9182	1031
899	9191	1021
900	9201	1010
901	9210	1000
902	9219	990
903	9229	980
904	9239	969
905	9248	959
906	9258	949
907	9267	938
908	9276	928
909	9285	918
910	9295	908
911	9304	897
912	9314	887
913	9323	877
914	9332	866
915	9342	856
916	9352	846
917	9361	836
918	9371	825
919	9380	815
920	9389	805
921	9399	795
922	9408	784
923	9419	774
924	9428	764
925	9438	754
926	9447	743
927	9457	733
928	9466	723
929	9475	713
930	9486	703
931	9496	692
932	9505	682
933	9515	672
934	9525	662
935	9534	651
936	9543	641
937	9552	631
938	9561	621
939	9571	610
940	9580	600
941	9590	590
942	9599	580
943	9608	570
944	9619	559
945	9633	549
946	9645	539
947	9658	529
948	9668	519
949	9678	509
950	9687	499
951	9697	488
952	9706	478
953	9715	468
954	9724	458
955	9734	448
956	9743	437
957	9752	427
958	9761	417
959	9771	407
960	9780	396
961	9789	386
962	9799	376
963	9808	366
964	9817	356
965	9826	345
966	9836	335
967	9845	325
968	9854	315
969	9864	305
970	9873	294
971	9883	284
972	9892	274
973	9901	264
974	9911	254
975	9922	243
976	9931	233
977	9941	223
978	9951	213
979	9960	203
980	9969	193
981	9979	182
982	9989	172
983	10000	162
984	10009	152
985	10019	142
986	10029	132
987	10038	121
988	10047	111
989	10056	101
990	10066	91
991	10076	81
992	10085	71
993	10094	60
994	10103	50
995	10112	40
996	10121	30
997	10131	20
998	10141	10
999	10152	0
